,BIOGRAPHICAL INFORMATION,,,,,,,,,,,,,,TEST SCORES,,,,,,,,,,,,,,,OUTPUT
27,SiH,15,DEC,Y7,B,A,85.2,96.66,Y14,Y16,X,C,86.56,Y20,32.0754717,56.68789809,53.93939394,63.19018405,22.95081967,47.30538922,49.72067039,53.75722543,51.78571429,66.90647482,68.27586207,66.42335766,78.18181818,60.75949367,86.20689655,BP
28,AhS,12,MAR,Y8,A,F,81,72,Y14,Y16,X,B,79.28,Y20,62.26415094,88.53503185,75.75757576,66.87116564,36.06557377,54.49101796,55.30726257,56.06936416,35.71428571,53.95683453,71.03448276,50.3649635,47.27272727,73.41772152,35.63218391,BP
29,AtD,9,DEC,Y7,A,E,80.8,74.5,Y14,Y20,X,B,63.35,Y20,26.41509434,61.78343949,60,63.19018405,8.196721311,50.89820359,44.13407821,53.75722543,28.57142857,52.51798561,48.96551724,53.28467153,MD,55.69620253,17.24137931,LP
31,RaS,12,AUG,Y7,B,C,77.33,91.6,Y13,Y15,X,C,78.1,Y20,20.75471698,63.05732484,52.72727273,49.69325153,37.70491803,53.29341317,50.83798883,66.47398844,41.07142857,62.58992806,57.24137931,63.50364964,43.63636364,37.97468354,47.12643678,MP
36,ShR,17,DEC,Y7,A,A,81.4,67,Y14,Y16,X,B,72.28,Y20,52.83018868,73.24840764,62.42424242,69.32515337,29.50819672,55.68862275,67.59776536,65.31791908,51.78571429,72.6618705,66.89655172,62.04379562,MD,83.5443038,67.81609195,BP
38,PtA,13,SEP,Y7,A,A,79.06,63.83,Y14,Y16,X,L,78,Y20,64.1509434,84.7133758,68.48484848,77.91411043,44.26229508,61.67664671,68.7150838,61.84971098,23.21428571,42.44604317,50.34482759,69.34306569,69.09090909,73.41772152,70.11494253,LP
39,GdR,8,OCT,Y7,A,A,81.36,87.67,Y14,Y16,X,B,69.52,Y20,73.58490566,78.34394904,81.81818182,86.50306748,42.62295082,58.08383234,68.7150838,68.78612717,60.71428571,82.73381295,66.89655172,70.80291971,80,83.5443038,77.01149425,BP
40,VkK,11,DEC,Y7,A,A,88.2,93.92,Y14,Y16,X,L,77.23,Y20,60.37735849,79.61783439,69.6969697,74.23312883,26.2295082,48.50299401,55.30726257,58.38150289,32.14285714,59.71223022,42.06896552,57.66423358,54.54545455,70.88607595,47.12643678,BP
42,BjS,17,AUG,Y8,A,C,88.16,89.2,Y14,Y16,X,I,77.95,Y20,67.9245283,74.52229299,63.63636364,80.36809816,52.45901639,65.26946108,66.48044693,52.60115607,44.64285714,65.4676259,50.34482759,67.88321168,61.81818182,55.69620253,67.81609195,LP
43,DsM,12,NOV,Y6,A,A,83.4,80.66,Y13,Y15,X,D,74.85,Y20,39.62264151,65.60509554,66.06060606,57.05521472,MD,65.26946108,65.36312849,64.16184971,21.42857143,45.32374101,35.17241379,64.96350365,76.36363636,60.75949367,81.6091954,BP
44,ShT,14,DEC,Y7,A,G,75,70,Y14,Y16,X,B,80,Y20,39.62264151,70.70063694,56.36363636,61.96319018,27.86885246,56.88622754,46.36871508,53.75722543,32.14285714,76.97841727,35.17241379,51.82481752,72.72727273,86.07594937,70.11494253,BP
45,AaM,15,JUL,Y8,B,A,96.6,94.5,Y14,Y16,X,B,85.29,Y20,64.1509434,83.43949045,75.75757576,66.87116564,39.3442623,52.09580838,65.36312849,53.75722543,55.35714286,72.6618705,62.75862069,73.72262774,78.18181818,65.82278481,86.20689655,BP
48,SlT,14,MAR,Y8,A,A,73.4,69.4,Y14,Y16,X,C,76.76,Y20,39.62264151,63.05732484,67.27272727,59.50920245,39.3442623,56.88622754,57.54189944,74.56647399,25,74.10071942,54.48275862,45.98540146,78.18181818,83.5443038,74.71264368,BP
49,DpG,10,JAN,Y8,A,C,85.5,94.9,Y14,Y16,X,B,77.19,Y20,54.71698113,64.33121019,58.78787879,76.68711656,62.29508197,74.8502994,68.7150838,79.19075145,58.92857143,79.85611511,54.48275862,79.5620438,74.54545455,63.29113924,83.90804598,BP
53,RdZ,24,MAR,Y8,A,A,83,93.25,Y14,Y16,X,B,71.01,Y20,28.30188679,66.87898089,55.15151515,55.82822086,34.42622951,60.47904192,70.94972067,52.60115607,26.78571429,52.51798561,37.93103448,53.28467153,69.09090909,81.01265823,63.2183908,MP
55,AnH,12,AUG,Y8,A,A,80.55,89.25,Y14,Y16,X,B,77.67,Y20,13.20754717,49.04458599,49.09090909,57.05521472,39.3442623,55.68862275,57.54189944,59.53757225,48.21428571,76.97841727,50.34482759,73.72262774,61.81818182,60.75949367,65.51724138,BP
58,BhK,11,FEB,Y8,A,A,93.8,90.83,Y14,Y16,X,B,78,Y20,49.05660377,69.42675159,63.63636364,66.87116564,57.37704918,78.44311377,65.36312849,56.06936416,71.42857143,88.48920863,73.79310345,67.88321168,78.18181818,78.48101266,79.31034483,BP
60,AaB,12,DEC,Y7,B,A,82.6,92.25,Y14,Y16,X,C,76.7,Y20,47.16981132,59.23566879,66.06060606,69.32515337,55.73770492,67.66467066,66.48044693,59.53757225,5.357142857,23.74100719,40.68965517,59.12408759,52.72727273,81.01265823,40.22988506,LP
62,JaD,9,AUG,Y7,A,A,85,90,Y14,Y16,X,B,74.01,Y20,39.62264151,61.78343949,63.63636364,59.50920245,37.70491803,58.08383234,59.77653631,57.22543353,8.928571429,53.95683453,42.06896552,32.84671533,32.72727273,63.29113924,19.54022989,BP
63,PnB,11,SEP,Y7,A,E,83,72.9,Y14,Y16,X,C,72.11,Y20,33.96226415,54.14012739,58.78787879,63.19018405,22.95081967,43.71257485,45.25139665,56.06936416,37.5,56.83453237,53.10344828,63.50364964,54.54545455,81.01265823,44.82758621,LP
64,NaD,20,MAY,Y7,B,A,93.6,97.25,Y14,Y16,X,C,83,Y20,83.01886792,88.53503185,87.87878788,86.50306748,50.81967213,72.45508982,66.48044693,76.87861272,41.07142857,74.10071942,65.51724138,59.12408759,72.72727273,93.67088608,70.11494253,BP
67,NyJ,9,MAR,Y6,B,H,83.63,94.67,Y13,Y15,X,B,85.9,Y20,43.39622642,64.33121019,64.84848485,63.19018405,29.50819672,60.47904192,47.48603352,54.9132948,50,72.6618705,65.51724138,59.12408759,70.90909091,78.48101266,67.81609195,BP
73,BiM,15,SEP,Y7,A,A,84.63,83.75,Y14,Y16,X,K,76.78,Y20,49.05660377,69.42675159,63.63636364,69.32515337,52.45901639,49.7005988,64.24581006,75.72254335,44.64285714,79.85611511,53.10344828,54.74452555,61.81818182,53.16455696,70.11494253,LP
74,LaK,12,JUN,Y8,B,A,84.18,95.41,Y14,Y16,X,B,86.65,Y20,33.96226415,59.23566879,61.21212121,58.28220859,39.3442623,54.49101796,51.95530726,68.78612717,35.71428571,52.51798561,57.24137931,69.34306569,49.09090909,83.5443038,35.63218391,BP
75,ShA,10,FEB,Y8,A,A,83.64,92.58,Y14,Y16,X,L,81.7,Y20,47.16981132,71.97452229,56.36363636,66.87116564,54.09836066,55.68862275,67.59776536,60.69364162,30.35714286,51.07913669,46.20689655,60.58394161,54.54545455,50.63291139,60.91954023,BP
76,VaS,13,AUG,Y7,A,A,90.8,93.5,Y14,Y16,X,B,76.7,Y20,69.81132075,89.8089172,78.18181818,77.91411043,50.81967213,65.26946108,59.77653631,68.78612717,28.57142857,53.95683453,43.44827586,62.04379562,43.63636364,68.35443038,31.03448276,MP
77,ApK,14,NOV,Y7,A,A,87.4,91.67,Y14,Y16,X,B,78.76,Y20,75.47169811,88.53503185,68.48484848,82.82208589,55.73770492,79.64071856,72.06703911,81.50289017,53.57142857,76.97841727,61.37931034,67.88321168,92.72727273,81.01265823,95.40229885,MP
78,AsE,16,AUG,Y7,A,A,88.88,94.42,Y14,Y16,X,B,79.45,Y20,56.60377358,77.07006369,72.12121212,68.09815951,34.42622951,49.7005988,58.65921788,57.22543353,41.07142857,74.10071942,42.06896552,69.34306569,38.18181818,63.29113924,28.73563218,BP
79,MhA,14,FEB,Y8,A,A,80.7,89.7,Y14,Y16,X,L,73.48,Y20,56.60377358,68.15286624,69.6969697,73.00613497,49.18032787,62.8742515,45.25139665,60.69364162,39.28571429,64.02877698,62.75862069,56.20437956,78.18181818,81.01265823,74.71264368,BP
80,ShK,16,NOV,Y7,A,B,66.4,74.44,Y14,Y16,X,L,68.83,Y20,50.94339623,73.24840764,68.48484848,63.19018405,49.18032787,58.08383234,64.24581006,53.75722543,33.92857143,58.27338129,39.31034483,62.04379562,83.63636364,70.88607595,90.8045977,MP
84,KaA,15,OCT,Y7,B,A,93.18,95.5,Y14,Y16,X,C,85.7,Y20,58.49056604,77.07006369,70.90909091,71.7791411,50.81967213,77.24550898,66.48044693,71.0982659,46.42857143,64.02877698,60,70.80291971,81.81818182,81.01265823,81.6091954,BP
85,LiJ,16,APR,Y8,A,A,78.6,88.58,Y14,Y16,X,B,77,Y20,32.0754717,65.60509554,58.78787879,57.05521472,44.26229508,60.47904192,64.24581006,57.22543353,53.57142857,84.17266187,48.96551724,76.64233577,72.72727273,63.29113924,79.31034483,BP
86,PaG,10,NOV,Y7,B,A,91.15,96.16,Y14,Y16,X,C,87.09,Y20,60.37735849,75.79617834,69.6969697,75.4601227,40.98360656,55.68862275,59.77653631,54.9132948,37.5,49.64028777,55.86206897,72.26277372,61.81818182,55.69620253,67.81609195,MP
88,GiM,9,OCT,Y7,A,C,90.4,90.5,Y14,Y16,X,B,78.73,Y20,28.30188679,61.78343949,57.57575758,54.60122699,39.3442623,62.8742515,57.54189944,53.75722543,39.28571429,75.53956835,42.06896552,60.58394161,47.27272727,40.50632911,49.42528736,MD
89,VnP,14,MAY,Y8,B,A,85,91,Y14,Y16,X,C,80,Y20,26.41509434,56.68789809,57.57575758,59.50920245,26.2295082,49.7005988,50.83798883,52.60115607,21.42857143,43.88489209,51.72413793,51.82481752,63.63636364,73.41772152,60.91954023,BP
90,AmD,16,JUN,Y8,A,A,92.2,82.25,Y14,Y16,X,B,70.12,Y20,54.71698113,73.24840764,63.63636364,71.7791411,31.14754098,53.29341317,51.95530726,57.22543353,19.64285714,45.32374101,39.31034483,47.44525547,52.72727273,40.50632911,58.62068966,MP
91,SaS,13,FEB,Y8,B,A,90.2,88.66,Y14,Y16,X,B,76.61,Y20,30.18867925,49.04458599,51.51515152,68.09815951,47.54098361,50.89820359,65.36312849,53.75722543,46.42857143,74.10071942,62.75862069,56.20437956,47.27272727,68.35443038,37.93103448,MP
92,JiV,11,OCT,Y8,B,A,85.4,78.9,Y14,Y16,X,C,79.9,Y20,71.69811321,71.97452229,83.03030303,81.59509202,40.98360656,59.28143713,59.77653631,63.00578035,35.71428571,58.27338129,48.96551724,70.80291971,60,78.48101266,54.02298851,BP
93,ShN,11,DEC,Y7,A,A,84.55,90.08,Y14,Y16,X,B,74.69,Y20,60.37735849,87.2611465,79.39393939,61.96319018,42.62295082,53.29341317,63.12849162,58.38150289,55.35714286,79.85611511,57.24137931,69.34306569,52.72727273,78.48101266,40.22988506,BP
94,AmM,21,JUN,Y8,A,A,89.09,94.33,Y14,Y16,X,C,83.05,Y20,47.16981132,65.60509554,72.12121212,60.73619632,49.18032787,67.66467066,57.54189944,61.84971098,53.57142857,76.97841727,60,66.42335766,70.90909091,75.94936709,72.4137931,BP
96,GmS,17,APR,Y8,A,A,93.2,93.25,Y14,Y17,X,B,83,Y20,62.26415094,73.24840764,58.78787879,79.14110429,36.06557377,59.28143713,66.48044693,60.69364162,48.21428571,61.15107914,62.75862069,70.80291971,60,73.41772152,54.02298851,BP
98,MkK,11,NOV,Y6,A,B,72,64.46,Y13,Y15,X,B,65.85,Y20,33.96226415,63.05732484,60,60.73619632,65.57377049,79.64071856,63.12849162,83.8150289,57.14285714,79.85611511,68.27586207,64.96350365,69.09090909,81.01265823,60.91954023,MP
99,BiA,16,SEP,Y8,B,A,92.6,96.92,Y14,Y16,X,B,77.35,Y20,41.50943396,83.43949045,74.54545455,53.37423313,49.18032787,67.66467066,59.77653631,65.31791908,44.64285714,65.4676259,64.13793103,60.58394161,80,96.20253165,74.71264368,BP
100,DiK,14,APR,Y8,B,A,85,93,Y14,Y16,X,C,82,Y20,49.05660377,77.07006369,64.84848485,65.64417178,47.54098361,68.86227545,60.89385475,59.53757225,16.07142857,39.56834532,61.37931034,41.60583942,60,68.35443038,56.32183908,MD
102,SaS,10,OCT,Y7,B,E,77.92,84.5,Y14,Y16,X,B,70,Y20,22.64150943,68.15286624,56.36363636,49.69325153,40.98360656,60.47904192,55.30726257,60.69364162,46.42857143,71.22302158,53.10344828,70.80291971,38.18181818,40.50632911,35.63218391,LP
103,KaD,14,OCT,Y7,B,A,89.2,92.8,Y14,Y16,X,C,85.5,Y20,45.28301887,70.70063694,72.12121212,60.73619632,36.06557377,58.08383234,55.30726257,60.69364162,23.21428571,42.44604317,53.10344828,54.74452555,MD,70.88607595,54.02298851,MP
104,PpM,26,FEB,Y6,A,I,77,67,Y12,Y15,X,B,66.84,Y20,83.01886792,89.8089172,87.87878788,65.64417178,52.45901639,67.66467066,60.89385475,68.78612717,41.07142857,58.27338129,60,66.42335766,70.90909091,78.48101266,67.81609195,MP
105,DiK,11,JUL,Y6,B,A,86,85,Y13,Y16,X,K,77,Y20,100,91.08280255,96.36363636,74.23312883,34.42622951,58.08383234,49.72067039,65.31791908,50,68.34532374,66.89655172,64.96350365,89.09090909,83.5443038,90.8045977,BP
106,SaR,13,MAY,Y8,A,A,93.2,90.83,Y14,Y16,X,B,73.67,Y20,32.0754717,66.87898089,53.93939394,59.50920245,16.39344262,53.29341317,39.66480447,61.84971098,16.07142857,61.15107914,33.79310345,54.74452555,43.63636364,48.10126582,44.82758621,MP
108,JaK,8,OCT,Y7,A,A,75,87.42,Y14,Y16,X,D,82.6,Y20,69.81132075,66.87898089,83.03030303,81.59509202,36.06557377,56.88622754,54.18994413,51.44508671,30.35714286,59.71223022,40.68965517,54.74452555,65.45454545,58.2278481,70.11494253,LP
110,SiV,13,OCT,Y7,B,E,88.16,90.83,Y14,Y16,X,B,79.08,Y20,56.60377358,68.15286624,69.6969697,73.00613497,54.09836066,70.05988024,65.36312849,60.69364162,46.42857143,59.71223022,72.4137931,57.66423358,65.45454545,78.48101266,60.91954023,BP
111,HhB,15,AUG,Y7,A,D,88.8,77.4,Y14,Y16,X,L,72.9,Y20,73.58490566,84.7133758,81.81818182,81.59509202,52.45901639,74.8502994,57.54189944,67.6300578,48.21428571,72.6618705,66.89655172,54.74452555,87.27272727,81.01265823,90.8045977,BP
112,ShA,14,APR,Y8,A,D,93.8,90.1,Y14,Y16,X,B,72,Y20,37.73584906,74.52229299,57.57575758,57.05521472,65.57377049,74.8502994,74.30167598,76.87861272,44.64285714,69.78417266,47.5862069,75.18248175,50.90909091,68.35443038,40.22988506,MD
113,MaS,14,FEB,Y7,B,E,89.28,88.33,Y14,Y16,X,B,73,Y20,56.60377358,73.24840764,73.33333333,69.32515337,50.81967213,68.86227545,66.48044693,67.6300578,46.42857143,81.29496403,42.06896552,63.50364964,58.18181818,88.60759494,44.82758621,MP
122,VaS,15,MAR,Y7,B,E,78.08,63.33,Y14,Y16,X,E,68.42,Y20,32.0754717,61.78343949,67.27272727,50.9202454,11.47540984,54.49101796,36.31284916,58.38150289,25,64.02877698,58.62068966,53.28467153,54.54545455,60.75949367,51.72413793,LP
123,BrG,17,MAY,Y7,A,E,76.48,73,Y14,Y16,X,B,63.04,Y20,30.18867925,42.67515924,63.63636364,64.41717791,27.86885246,41.31736527,65.36312849,63.00578035,35.71428571,59.71223022,58.62068966,50.3649635,52.72727273,60.75949367,56.32183908,MP
124,AnS,15,OCT,Y6,A,D,85,79.75,Y13,Y15,X,B,78,Y20,77.35849057,78.34394904,81.81818182,88.95705521,50.81967213,70.05988024,59.77653631,53.75722543,39.28571429,81.29496403,47.5862069,54.74452555,54.54545455,58.2278481,51.72413793,BP
126,JnD,15,JAN,Y8,A,D,88,76.2,Y14,Y16,X,B,63.94,Y20,71.69811321,92.3566879,60,79.14110429,MD,67.66467066,44.13407821,57.22543353,57.14285714,71.22302158,58.62068966,79.5620438,76.36363636,73.41772152,81.6091954,BP
130,AyS,11,NOV,Y7,B,D,84.4,77,Y14,Y16,X,B,74,Y20,33.96226415,64.33121019,61.21212121,55.82822086,42.62295082,58.08383234,56.42458101,65.31791908,50,66.90647482,68.27586207,60.58394161,67.27272727,88.60759494,56.32183908,BP
131,SmS,11,OCT,Y7,A,D,95,89.8,Y14,Y16,X,K,78.71,Y20,58.49056604,75.79617834,61.21212121,75.4601227,49.18032787,66.46706587,56.42458101,61.84971098,39.28571429,56.83453237,47.5862069,85.40145985,74.54545455,81.01265823,72.4137931,BP
133,AhM,11,OCT,Y7,A,J,84,77,Y14,Y16,X,B,71,Y20,45.28301887,57.96178344,68.48484848,68.09815951,45.90163934,60.47904192,49.72067039,65.31791908,51.78571429,59.71223022,62.75862069,83.94160584,58.18181818,50.63291139,60.91954023,BP
134,BtD,15,JAN,Y7,A,J,76.2,68,Y13,Y15,X,B,69.02,Y20,49.05660377,65.60509554,64.84848485,68.09815951,65.57377049,76.04790419,74.30167598,76.87861272,53.57142857,72.6618705,54.48275862,85.40145985,67.27272727,86.07594937,58.62068966,BP
140,HhA,18,APR,Y8,A,D,91,94.33,Y14,Y16,X,B,70.24,Y20,54.71698113,77.07006369,72.12121212,58.28220859,42.62295082,60.47904192,69.83240223,56.06936416,37.5,71.22302158,51.72413793,51.82481752,81.81818182,88.60759494,77.01149425,BP
144,SrC,13,DEC,Y7,A,D,88.83,90.5,Y14,Y16,X,B,77.2,Y20,62.26415094,78.34394904,72.12121212,71.7791411,62.29508197,68.86227545,70.94972067,75.72254335,58.92857143,84.17266187,57.24137931,73.72262774,65.45454545,81.01265823,58.62068966,BP
148,AtK,9,MAY,Y7,A,E,82.4,69,Y14,Y16,X,B,65.08,Y20,43.39622642,70.70063694,63.63636364,61.96319018,52.45901639,56.88622754,67.59776536,57.22543353,44.64285714,65.4676259,58.62068966,63.50364964,36.36363636,63.29113924,24.13793103,MP
150,LaS,15,AUG,Y7,B,K,85.2,84.6,Y14,Y16,X,B,89.8,Y20,39.62264151,61.78343949,67.27272727,61.96319018,45.90163934,66.46706587,72.06703911,64.16184971,37.5,66.90647482,53.10344828,51.82481752,70.90909091,86.07594937,60.91954023,BP
155,CnA,13,SEP,Y7,A,E,81.44,74.5,Y14,Y16,X,B,61.58,Y20,43.39622642,69.42675159,61.21212121,61.96319018,22.95081967,46.10778443,46.36871508,53.75722543,10.71428571,41.00719424,44.82758621,41.60583942,29.09090909,50.63291139,21.83908046,LP
156,PnS,19,NOV,Y7,A,E,69.44,68.69,Y14,Y17,X,B,65.19,Y20,24.52830189,60.50955414,66.06060606,46.01226994,34.42622951,52.09580838,53.0726257,64.16184971,41.07142857,71.22302158,62.75862069,51.82481752,52.72727273,58.2278481,51.72413793,MP
157,SaF,15,NOV,Y7,B,D,91.33,83.4,Y14,Y16,X,K,78.35,Y20,71.69811321,89.8089172,81.81818182,65.64417178,62.29508197,76.04790419,73.18435754,58.38150289,44.64285714,76.97841727,55.86206897,56.20437956,76.36363636,73.41772152,79.31034483,BP
159,ShC,15,JAN,Y8,A,E,76.8,73.66,Y14,Y16,X,L,63.22,Y20,49.05660377,68.15286624,49.09090909,76.68711656,18.03278689,53.29341317,47.48603352,53.75722543,25,42.44604317,48.96551724,79.5620438,61.81818182,58.2278481,63.2183908,LP
162,PrR,19,JUN,Y7,A,D,95.17,94.33,Y14,Y16,X,L,71.2,Y20,49.05660377,88.53503185,63.63636364,64.41717791,77.04918033,76.04790419,81.00558659,86.12716763,44.64285714,65.4676259,48.96551724,70.80291971,81.81818182,88.60759494,74.71264368,BP
164,DaB,14,APR,Y7,B,D,89.3,76.8,Y14,Y16,X,B,75.1,Y20,58.49056604,85.98726115,60,73.00613497,59.01639344,60.47904192,74.30167598,50.28901734,39.28571429,66.90647482,37.93103448,69.34306569,80,81.01265823,79.31034483,MP
165,DkM,11,MAR,Y7,A,E,77.28,71.5,Y14,Y16,X,B,69.1,Y20,30.18867925,64.33121019,55.15151515,61.96319018,18.03278689,52.09580838,47.48603352,54.9132948,32.14285714,64.02877698,44.82758621,54.74452555,40,60.75949367,28.73563218,BP
168,AtM,9,DEC,Y8,A,J,69.8,65.6,Y14,Y16,X,B,69.81,Y20,47.16981132,63.05732484,58.78787879,71.7791411,59.01639344,71.25748503,67.59776536,75.72254335,48.21428571,55.39568345,72.4137931,72.26277372,65.45454545,55.69620253,67.81609195,BP
169,SlM,17,JUL,Y6,B,K,85.33,86,Y13,Y15,X,B,72.8,Y20,24.52830189,61.78343949,49.09090909,59.50920245,47.54098361,66.46706587,58.65921788,63.00578035,64.28571429,85.61151079,64.13793103,78.10218978,80,78.48101266,77.01149425,BP
170,PhP,15,SEP,Y7,A,B,80.8,84.88,Y13,Y15,X,B,73.11,Y20,49.05660377,64.33121019,63.63636364,69.32515337,50.81967213,67.66467066,65.36312849,53.75722543,51.78571429,68.34532374,64.13793103,69.34306569,52.72727273,68.35443038,47.12643678,BP
173,AhS,13,AUG,Y7,A,B,76,82.67,Y14,Y16,X,B,72.27,Y20,45.28301887,64.33121019,53.93939394,73.00613497,39.3442623,65.26946108,58.65921788,54.9132948,58.92857143,82.73381295,55.86206897,73.72262774,63.63636364,75.94936709,67.81609195,BP
174,ShG,12,MAR,Y7,A,D,94.16,84.5,Y14,Y16,X,B,69.46,Y20,41.50943396,79.61783439,58.78787879,58.28220859,45.90163934,64.07185629,57.54189944,57.22543353,35.71428571,61.15107914,40.68965517,69.34306569,34.54545455,63.29113924,21.83908046,BP
180,KaR,11,FEB,Y7,B,D,94.83,95.33,Y13,Y15,X,B,85,Y20,73.58490566,88.53503185,80.60606061,86.50306748,63.93442623,84.43113772,83.24022346,81.50289017,53.57142857,76.97841727,66.89655172,62.04379562,85.45454545,68.35443038,90.8045977,BP
181,AkS,17,NOV,Y8,A,M,88.6,75.2,Y14,Y16,X,B,68.2,Y20,75.47169811,66.87898089,75.75757576,86.50306748,40.98360656,65.26946108,58.65921788,66.47398844,57.14285714,74.10071942,54.48275862,81.02189781,89.09090909,75.94936709,95.40229885,BP
183,ViM,14,SEP,Y7,B,N,78.53,72.17,Y14,Y16,X,B,63.03,Y20,50.94339623,68.15286624,63.63636364,70.55214724,9.836065574,38.92215569,41.89944134,59.53757225,26.78571429,53.95683453,44.82758621,48.90510949,36.36363636,63.29113924,26.43678161,LP
185,NnV,16,AUG,Y7,A,D,94.33,90.67,Y14,Y16,X,H,70.03,Y20,67.9245283,83.43949045,75.75757576,82.82208589,45.90163934,58.08383234,60.89385475,65.31791908,51.78571429,64.02877698,72.4137931,64.96350365,76.36363636,86.07594937,67.81609195,BP
190,AdR,15,JUN,Y7,A,E,91.86,91.16,Y14,Y16,X,B,78.92,Y20,41.50943396,56.68789809,72.12121212,63.19018405,60.6557377,78.44311377,81.00558659,75.72254335,48.21428571,84.17266187,50.34482759,57.66423358,58.18181818,86.07594937,47.12643678,BP
193,DaS,12,OCT,Y7,B,E,88.13,79.5,Y13,Y16,X,B,71.88,Y20,24.52830189,52.86624204,56.36363636,57.05521472,22.95081967,47.30538922,46.36871508,61.84971098,44.64285714,65.4676259,57.24137931,66.42335766,30.90909091,48.10126582,21.83908046,BP
